"Title","material","precursor 1","precursor 2","precursor 3","precursor 4","growth per cycle (gpc) [å]","deposition temperature [°c]"
"Enhancement of the Electroluminescence from Amorphous Er-Doped Al2O3 Nanolaminate Films by Y2O3 Cladding Layers Using Atomic Layer Deposition - Contribution","Nd2O3","Nd(thd)3","O3","","","0.44-0.45","310"
"Comprehensive investigation of Er2O3 thin films grown with different ALD approaches - Contribution","Nd2O3","Nd(thd)3","O3","","","0.44-0.45","310"
"Neodymium oxide and neodymium aluminate thin films by atomic layer deposition - Contribution","NdAlO3","Nd(thd)3","O3","TMA","H2O","0.53","300"
"Deposition of Pr- and Nd-aluminate by Liquid Injection MOCVD and ALD Using Single-Source Heterometallic Alkoxide Precursors - Contribution","NdAlO3","[NdAl(OiPr)6(PriOH)]2","H2O","","","_","180-350"
"Electrochromic Properties of Perovskite NdNiO<sub>3</sub> Thin Films for Smart Windows - Contribution","NdNiO3","Nd(iPrCp)3","Ni(tBu2amd)2","O3","","0.36","160"
"A comparative study on lanthanide oxide thin films grown by atomic layer deposition - Contribution","Sm2O3","Sm(thd)3","O3","","","0.36","300"
"Extensive Series of Hexagonal and Orthorhombic RMnO<sub>3</sub> (R = Y, La, Sm, Tb, Yb, Lu) Thin Films by Atomic Layer Deposition - Contribution","SmMnO3","Sm(thd)3","Mn(thd)2","O3","","0.23","275"
"A comparative study on lanthanide oxide thin films grown by atomic layer deposition - Contribution","Eu2O3","Eu(thd)3","O3","","73","0.32","300"
"Metal oxide nanoparticles embedded in rare-earth matrix for low temperature thermal imaging applications - Contribution","Eu2O3","Eu(thd)3","O3","","73","0.32","300"
"ALD Applied to Conformal Rare-Earth Coating of ZnO Nanoparticles for Low Temperature Thermal Imaging Applications - Contribution","Eu2O3","Eu(thd)3","O3","","73","0.32","300"
"Controlling luminescence and quenching mechanisms in subnanometer multilayer structure of europium titanium oxide thin films - Contribution","Eu2O3","Eu(thd)3","O3","","73","0.32","300"
"Luminescent Properties of Multilayered Eu<sub>2</sub>O<sub>3</sub> and TiO<sub>2</sub> Grown by Atomic Layer Deposition** - Contribution","Eu2O3","Eu(thd)3","O3","","73","0.32","300"
"Harnessing Atomic Layer Deposition and Diffusion to Spatially Localize Rare-Earth Ion Emitters - Contribution","Eu2O3","Eu(thd)3","O3","","73","0.32","300"
"Luminescence properties of europium titanate thin films grown by atomic layer deposition - Contribution","EuxTiyOz","Eu(thd)3","O3","TiCl4","H2O","0.38-0.45","300"
"Luminescent properties of europium titanium phosphate thin films deposited by atomic layer deposition - Contribution","EuxTiyPOz","Eu(thd)3","O3","TiCl4+H2O","Me3PO4","0.80-1.00","300"
"A comparative study on lanthanide oxide thin films grown by atomic layer deposition - Contribution","Gd2O3","Gd(thd)3","O3","","","0.31","300"
"Gadolinium oxide thin films by atomic layer deposition - Contribution","Gd2O3","Gd(MeCp)3","H2O","","","1.00-3.20","175-300"
"Characteristics of atomic layer deposited Gd<sub>2</sub>O<sub>3</sub> on n-GaN with an AlN layer - Contribution","Gd2O3","Gd(RCp)3","H2O","","","1.00-3.20",""
"Multilevel operation of GdOx-based resistive switching memory device fabricated by post-deposition annealing - Contribution","Gd2O3","Gd(RCp)3","H2O","","","1.00-3.20",""
"Deposition of HfO2, Gd2O3 and PrOx by Liquid Injection ALD Techniques - Contribution","Gd2O3","Gd(mmp)3","H2O","","","0.20-1.00","200-300"
"Atomic Layer Deposition of Gd<sub>2</sub>O<sub>3</sub> and Dy<sub>2</sub>O<sub>3</sub>: A Study of the ALD Characteristics and Structural and Electrical Properties - Contribution","Gd2O3","Gd(dpdmg)3","H2O","","","1.00-1.10","175-350"
"Synthesis, Characterization, and Thermal Properties of Homoleptic Rare-Earth Guanidinates: Promising Precursors for MOCVD and ALD of Rare-Earth Oxide Thin Films - Contribution","Gd2O3","Gd(dpdmg)3","H2O","","","1.00-1.10","175-350"
"Downscaling of defect-passivated Gd<sub>2</sub>O<sub>3</sub>thin films on p-Si(0 0 1) wafers grown by H<sub>2</sub>O-assisted atomic layer deposition - Contribution","Gd2O3","Gd(dpdmg)3","H2O","","","1.00-1.10","175-350"
"High Growth Rate of Erbium Oxide Thin Films in Atomic Layer Deposition from (CpMe)3Er and Water Precursors - Contribution","Gd2O3","Gd(tBu2amd)3","H2O","","","0.26-0.49","350-400"
"Atomic Layer Deposition of Gadolinium Oxide Films - Contribution","Gd2O3","Gd(tBu2amd)3","H2O","","","0.26-0.49","350-400"
"Electrical Properties of Atomic-Layer-Deposited Thin Gadolinium Oxide High-k Gate Dielectrics - Contribution","Gd2O3","Gd(tBu2amd)3","H2O","","","0.26-0.49","350-400"
"Al<sub>2</sub>O<sub>3</sub>/InGaAs Metal-Oxide-Semiconductor Interface Properties: Impact of Gd<sub>2</sub>O<sub>3</sub>and Sc<sub>2</sub>O<sub>3</sub>Interfacial Layers by Atomic Layer Deposition - Contribution","Gd2O3","Gd(iPrCp)3","H2O","","","0.8","250"
"Reaction Chemistry during the Atomic Layer Deposition of Sc<sub>2</sub>O<sub>3</sub> and Gd<sub>2</sub>O<sub>3</sub> from Sc(MeCp)<sub>3</sub>, Gd(<sup>i</sup>PrCp)<sub>3</sub>, and H<sub>2</sub>O - Contribution","Gd2O3","Gd(iPrCp)3","H2O","","","0.8","250"
"Ozone‐Based Atomic Layer Deposition of Gd<sub>2</sub>O<sub>3</sub> from Tris(isopropyl‐cyclopentadienyl)gadolinium: Growth Characteristics and Surface Chemistry - Contribution","Gd2O3","Gd(iPrCp)3","O3","","","0.2","250"
"Heteroleptic Cyclopentadienyl-Amidinate Precursors for Atomic Layer Deposition (ALD) of Y, Pr, Gd, and Dy Oxide Thin Films - Contribution","Gd2O3","Gd(iPr2amd)(iPrCp)2","H2O","","","1.16-1.38","200-250"
"Atomic Layer Deposition of Gadolinium Aluminate using Gd(<sup><i>i</i></sup>PrCp)<sub>3</sub>, TMA, and O<sub>3</sub> or H<sub>2</sub>O - Contribution","GdAlO3","Gd(iPrCp)3","TMA","O3","","1.75-2.75","200-350"
"Atomic Layer Deposition of Gadolinium Aluminate using Gd(<sup><i>i</i></sup>PrCp)<sub>3</sub>, TMA, and O<sub>3</sub> or H<sub>2</sub>O - Contribution","GdAlO3","Gd(iPrCp)3","TMA","H2O","","4.50-5.00","200-350"
"Investigation of ZrO[sub 2]–Gd[sub 2]O[sub 3] Based High-k Materials as Capacitor Dielectrics - Contribution","ZrO2-Gd2O3","Zr(MeCp)2Me(OMe)","Gd(thd)3","O3","","0.39-0.53","300"
"Atomic layer deposition of gadolinium scandate films with high dielectric constant and low leakage current - Contribution","GdScO3","Gd(iPr2amd)3","Sc(Et2amd)3","H2O","","2","310"
"Characterization and electrical properties of high-k GdScO3 thin films grown by atomic layer deposition - Contribution","GdScO3","Gd(thd)3","Sc(thd)3","O3","","0.21","300"
"Reaction Chemistry during the Atomic Layer Deposition of Sc<sub>2</sub>O<sub>3</sub> and Gd<sub>2</sub>O<sub>3</sub> from Sc(MeCp)<sub>3</sub>, Gd(<sup>i</sup>PrCp)<sub>3</sub>, and H<sub>2</sub>O - Contribution","GdScO3","Gd(iPrCp)3","Sc(MeCp)3","H2O","","2.2","300"
"Atomic scale growth of GdFeO3 perovskite thin films - Contribution","GdFeO3","GdFe(OtBu)6(C5H5N)2","O3","","","0.20-0.30","200"
"Alumina Concentration Measurements in Cryolite Melts - Contribution","GdCoO3","Gd(thd)3","Co(thd)2","O3","","0.24","300"
"Crystallization and electroluminescence performance of the Er-doped polycrystalline Gd3Ga5O12 nanofilms fabricated by atomic layer deposition on silicon - Contribution","Gd3Ga5O12","Gd(thd)3","TEGa","O3","","0.19","350"
"Alumina Concentration Measurements in Cryolite Melts - Contribution","Gd0.9Ca0.1CoO3","Gd(thd)3","Co(thd)2","Ca(thd)2","O3","0.3","300"
"Gadolinium nitride films deposited using a PEALD based process - Contribution","GdN","Gd(MeCp)3","N2 plasma","","","0.33","150-300"
"Atomic layer deposition of GdF3 thin films - Contribution","GdF3","Gd(thd)3","NH4F","","","0.26","300"
"Intense electroluminescence from Al<sub>2</sub>O<sub>3</sub>/Tb<sub>2</sub>O<sub>3</sub>nanolaminate films fabricated by atomic layer deposition on silicon - Contribution","Tb2O3-Al2O3","Tb(thd)3","TMA","O3","","_","350"
"Extensive Series of Hexagonal and Orthorhombic RMnO<sub>3</sub> (R = Y, La, Sm, Tb, Yb, Lu) Thin Films by Atomic Layer Deposition - Contribution","TbMnO3","Tb(thd)3","Mn(thd)2","O3","","0.18","250-325"
"Structural and Electrical Properties of Terbium Scandate Films Deposited by Atomic Layer Deposition and High Temperature Annealing Effects - Contribution","TbScO3","Tb(thd)3","Sc(thd)3","O3","","0.4","300"
"Atomic layer deposition of TbF3 thin films - Contribution","TbF3","Tb(thd)3","TiF4","","","0.75","175-350"
"A comparative study on lanthanide oxide thin films grown by atomic layer deposition - Contribution","Dy2O3","Dy(thd)3","O3","","","0.31","300"
"Atomic Layer Deposition of Gd<sub>2</sub>O<sub>3</sub> and Dy<sub>2</sub>O<sub>3</sub>: A Study of the ALD Characteristics and Structural and Electrical Properties - Contribution","Dy2O3","Dy(dpdmg)3","H2O","","","1","200-350"
"Synthesis, Characterization, and Thermal Properties of Homoleptic Rare-Earth Guanidinates: Promising Precursors for MOCVD and ALD of Rare-Earth Oxide Thin Films - Contribution","Dy2O3","Dy(dpdmg)3","H2O","","","1","200-350"
"Nucleation and Growth of the HfO<sub>2</sub> Dielectric Layer for Graphene-Based Devices - Contribution","Dy2O3","Dy(iPr2amd)(iPrCp)2","O2 plasma","","","0.3","140-230"
"Heteroleptic Cyclopentadienyl-Amidinate Precursors for Atomic Layer Deposition (ALD) of Y, Pr, Gd, and Dy Oxide Thin Films - Contribution","Dy2O3","Dy(iPr2amd)(iPrCp)2","H2O","","","1.16-1.38","300-350"
"Heteroleptic Cyclopentadienyl-Amidinate Precursors for Atomic Layer Deposition (ALD) of Y, Pr, Gd, and Dy Oxide Thin Films - Contribution","Dy2O3","Dy(iPr2amd)(iPrCp)2","O3","","","_","200-350"
"A comparative study on lanthanide oxide thin films grown by atomic layer deposition - Contribution","Ho2O3","Ho(thd)3","O3","","","0.25","300"
"Atomic layer deposition of CoF<sub>2</sub>, NiF<sub>2</sub> and HoF<sub>3</sub> thin films - Contribution","HoF3","Ho(thd)3","NbF5","","","1","250-275"
"A comparative study on lanthanide oxide thin films grown by atomic layer deposition - Contribution","Er2O3","Er(thd)3","O3","","","0.20-0.25","250-375"
"Atomic layer deposition of rare earth oxides: erbium oxide thin films from β-diketonate and ozone precursors - Contribution","Er2O3","Er(thd)3","O3","","","0.20-0.25","250-375"
"Luminescent (Er,Ho)2O3 thin films by ALD to enhance the performance of silicon solar cells - Contribution","Er2O3","Er(thd)3","O3","","","0.20-0.25","250-375"
"Enhancement of the Electroluminescence from Amorphous Er-Doped Al2O3 Nanolaminate Films by Y2O3 Cladding Layers Using Atomic Layer Deposition - Contribution","Er2O3","Er(thd)3","O3","","","0.20-0.25","250-375"
"Comprehensive investigation of Er2O3 thin films grown with different ALD approaches - Contribution","Er2O3","Er(thd)3","O3","","","0.20-0.25","250-375"
"Surface reaction kinetics of metal β-diketonate precursors with O radicals in radical-enhanced atomic layer deposition of metal oxides - Contribution","Er2O3","Er(thd)3","O2 plasma","","","0.5","200-300"
"High Growth Rate of Erbium Oxide Thin Films in Atomic Layer Deposition from (CpMe)3Er and Water Precursors - Contribution","Er2O3","Er(MeCp)3","H2O","","","1.5","250-350"
"Comprehensive investigation of Er2O3 thin films grown with different ALD approaches - Contribution","Er2O3","Er(MeCp)3","H2O","","","1.5","250-350"
"Atomic layer deposition and characterization of stoichiometric erbium oxide thin dielectrics on Si(100) using (CpMe)3Er precursor and ozone - Contribution","Er2O3","Er(MeCp)3","O3","","","0.12","170-330"
"Atomic Layer Deposition of Rare-earth Oxide Thin Films for High-k Dielectric Applications - Contribution","Er2O3","Er(MeCp)3","O3","","","0.12","170-330"
"Atomic Layer Deposition of Rare-earth Oxide Thin Films for High-k Dielectric Applications - Contribution","Er2O3","Erbitel12","O3","","","0.20-0.40","175-300"
"Synthesis, structure and properties of volatile lanthanide complexes containing amidinate ligands: application for Er2O3 thin film growth by atomic layer deposition - Contribution","Er2O3","Er(tBu2amd)3","O3","","","0.37-0.55","225-300"
"Atomic layer deposition of Er2O3 thin films from Er tris-guanidinate and water: process optimization, film analysis and electrical properties - Contribution","Er2O3","Er(dpdmg)3","H2O","","","1.1","150-275"
"Nucleation and Growth of the HfO<sub>2</sub> Dielectric Layer for Graphene-Based Devices - Contribution","Er2O3","Er(iPr2amd)(MeCp)2","H2O","","","0.5","180"
"Nucleation and Growth of the HfO<sub>2</sub> Dielectric Layer for Graphene-Based Devices - Contribution","Er2O3","Er(iPr2amd)(MeCp)2","O2 plasma","","","0.7","180"
"Cyclopentadienyl Precursors for the Atomic Layer Deposition of Erbium Oxide Thin Films - Contribution","Er2O3","Er(iPr2amd)(MeCp)2","H2O","","","1.10-1.20","225-275"
"Cyclopentadienyl Precursors for the Atomic Layer Deposition of Erbium Oxide Thin Films - Contribution","Er2O3","Er(iPr2amd)(MeCp)2","O3","","","0.20-1.0","200-325"
"Cyclopentadienyl Precursors for the Atomic Layer Deposition of Erbium Oxide Thin Films - Contribution","Er2O3","Er(iPrCp)3","H2O","","","0.80-1.20","200-300"
"Cyclopentadienyl Precursors for the Atomic Layer Deposition of Erbium Oxide Thin Films - Contribution","Er2O3","Er(iPrCp)3","O3","","","0.30-0.80","200-300"
"Cyclopentadienyl Precursors for the Atomic Layer Deposition of Erbium Oxide Thin Films - Contribution","Er2O3","Er(nBuCp)3","H2O","","","1.2","250-325"
"Cyclopentadienyl Precursors for the Atomic Layer Deposition of Erbium Oxide Thin Films - Contribution","Er2O3","Er(nBuCp)3","O3","","","0.40-0.80","225-350"
"Atomic Layer Deposition and Characterization of Amorphous Er<sub>x</sub>Ti<sub>1-x</sub>O<sub>y</sub>Dielectric Ultra-Thin Films - Contribution","Er1-xTixOy","Er(MeCp)3","TDEAT","O3","","0.5-10.64","175-275"
"Atomic layer deposition and characterization of zirconium oxide–erbium oxide nanolaminates - Contribution","ZrO2-Er2O3","Zr(MeCp)2Me(OMe)","Er(thd)3","O3","","0.2","350"
"The growth of Er<sub>x</sub>Ga<sub>2−x</sub>O<sub>3</sub>films by atomic layer deposition from two different precursor systems - Contribution","(Er,Ga)2O3","Er(thd)3","Ga(acac)3","O3","","0.25-0.28","350"
"The growth of Er<sub>x</sub>Ga<sub>2−x</sub>O<sub>3</sub>films by atomic layer deposition from two different precursor systems - Contribution","(Er,Ga)2O3","Er(MeCp)3","Ga2(NMe2)6","H2O","","0.95-1.00","250"
"Atomic Layer Deposition of hexagonal ErFeO3 thin films on SiO2/Si - Contribution","ErFeO3","Er(thd)3","Fe(thd)3","O3","","1","280-300"
"A comparative study on lanthanide oxide thin films grown by atomic layer deposition - Contribution","Tm2O3","Tm(thd)3","O3","","","0.22","300"
"Control of interaction between Tm<sub>2</sub>O<sub>3</sub> layers in electroluminescent Al<sub>2</sub>O<sub>3</sub>/ Tm<sub>2</sub>O<sub>3</sub> nanolaminate films fabricated by atomic layer deposition - Contribution","Tm2O3","Tm(thd)3","O3","","","0.22","300"
"Blue Electroluminescent Al2O3/Tm2O3 Nanolaminate Films Fabricated by Atomic Layer Deposition on Silicon - Contribution","Tm2O3","Tm(thd)3","O3","","","0.22","300"
"Thermal atomic layer deposition of In2O3 thin films using dimethyl(N-ethoxy-2,2-dimethylcarboxylicpropanamide)indium and H2O - Contribution","Tm2O3","Tm(Cp)3","H2O","","","1.5","200-300"
"Photon up‐converting (Yb,Er)<sub>2</sub>O<sub>3</sub> thin films by atomic layer deposition - Contribution","Yb2O3","Yb(thd)3","O3","","","0.15-0.2","250-400"
"Electroluminescent Yb2O3:Er and Yb2Si2O7:Er nanolaminate films fabricated by atomic layer deposition on silicon - Contribution","Yb2O3","Yb(thd)3","O3","","","0.15-0.2","250-400"
"Atomic layer deposition of ytterbium oxide using -diketonate and ozone precursors - Contribution","Yb2O3","Yb(thd)3","O3","","","0.15-0.2","250-400"
"Atomic Layer Deposition of Rare-earth Oxide Thin Films for High-k Dielectric Applications - Contribution","Yb2O3","Yb(MeCp)3","H2O","","","1","180-375"
"Silicon-based electroluminescent polycrystalline Er-doped Yb3Al5O12 nanofilms fabricated by atomic layer deposition - Contribution","Yb3Al5O12","Yb(thd)3","TMA","O3","","0.2","350"
"Extensive Series of Hexagonal and Orthorhombic RMnO<sub>3</sub> (R = Y, La, Sm, Tb, Yb, Lu) Thin Films by Atomic Layer Deposition - Contribution","YbMnO3","Yb(thd)3","Mn(thd)2","O3","","0.18","275-300"
"Luminescent YbVO<sub>4</sub> by atomic layer deposition - Contribution","YbVO4","Yb(thd)3","VO(thd)2","O3","","0.08-0.23","240"
"Atomic-layer deposition of Lu2O3 - Contribution","Lu2O3","Lu(SiMe3Cp)2Cl","H2O","","","0.25","360-370"
"Dielectric Properties of High-<mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML" display="inline"><mml:mi>κ</mml:mi></mml:math>Oxides: Theory and Experiment for<mml:math xmlns:mml="http://www.w3.org/1998/Math/MathML" display="inline"><mml:msub><mml:mrow><mml:mi mathvariant="normal">L</mml:mi><mml:mi mathvariant="normal">u</mml:mi></mml:mrow><mml:mn>2</mml:mn></mml:msub><mml:msub><mml:mi mathvariant="normal">O</mml:mi><mml:mn>3</mml:mn></mml:msub></mml:math> - Contribution","Lu2O3","Lu(SiMe3Cp)2Cl","H2O","","","0.25","360-370"
"Effect of rapid thermal annealing on optical and interfacial properties of atomic-layer-deposited Lu2O3 films on Si (100) - Contribution","Lu2O3","Lu(iPrCp)3","H2O","","","_","330"
"Extensive Series of Hexagonal and Orthorhombic RMnO<sub>3</sub> (R = Y, La, Sm, Tb, Yb, Lu) Thin Films by Atomic Layer Deposition - Contribution","LuMnO3","Lu(thd)3","Mn(thd)3","O3","","0.18","275-300"
"Atomic-Layer Deposition of Lutetium Aluminate Thin Films for Non-Volatile Memory Applications - Contribution","LuAlO3","Lu(thd)3","TMA","O3","","0.35","300"
"Electroluminescent polycrystalline Er-doped Lu3Al5O12 nanofilms fabricated by atomic layer deposition on silicon - Contribution","Lu3Al5O12","Lu(thd)3","TMA","O3","","0.19","350"
"Lutetium coating of nanoparticles by atomic layer deposition - Contribution","Lu","Lu(thd)3","O3","","","0.3","230"
"A comparative study on lanthanide oxide thin films grown by atomic layer deposition - Contribution","LuSi1.5O5","Lu(tmsa)3","H2O/O3","","","0.60-4.3","280-380"
"Atomic Layer Deposition of Lu Silicate Films Using [(Me[sub 3]Si)[sub 2]N][sub 3]Lu - Contribution","LuSi1.5O5","Lu(tmsa)3","H2O/O3","","","0.60-4.3","280-380"
"Atomic Layer Deposition and Electroluminescence of Er-Doped Polycrystalline Lu<sub>3</sub>Ga<sub>5</sub>O<sub>12</sub> Nanofilms for Silicon-Based Optoelectronics - Contribution","Lu3Ga5O12","Lu(thd)3","Ga(C2H5)3","O3","","0.2","350"
