orkg:P9071,orkg:P180042,orkg:P180043,orkg:P180044,orkg:P180045,orkg:P180041,orkg:P180013,paper:doi,paper:research_field
resource:Er2O3,resource:Er(iPr2amd)(MeCp)2,resource:O3,,,0.20-1.0,200-325,10.1002/cvde.201407116,R254
resource:Er2O3,resource:Er(iPrCp)3,resource:H2O,,,0.80-1.20,200-300,10.1002/cvde.201407116,R254
resource:Er2O3,resource:Er(iPrCp)3,resource:O3,,,0.30-0.80,200-300,10.1002/cvde.201407116,R254
resource:Er2O3,resource:Er(nBuCp)3,resource:H2O,,,1.2,250-325,10.1002/cvde.201407116,R254
resource:Er2O3,resource:Er(nBuCp)3,resource:O3,,,0.40-0.80,225-350,10.1002/cvde.201407116,R254
resource:Er1-xTixOy,resource:Er(MeCp)3,resource:TDEAT,resource:O3,,0.5-10.64,175-275,10.1149/2.013206jss,R254
resource:ZrO2-Er2O3,resource:Zr(MeCp)2Me(OMe),resource:Er(thd)3,resource:O3,,0.2,350,10.1016/j.tsf.2010.08.111,R254
"resource:(Er,Ga)2O3",resource:Er(thd)3,resource:Ga(acac)3,resource:O3,,0.25-0.28,350,10.1039/b616443a,R254
"resource:(Er,Ga)2O3",resource:Er(MeCp)3,resource:Ga2(NMe2)6,resource:H2O,,0.95-1.00,250,10.1039/b616443a,R254
resource:ErFeO3,resource:Er(thd)3,resource:Fe(thd)3,resource:O3,,1,280-300,10.1016/j.tsf.2016.03.018,R254
resource:Tm2O3,resource:Tm(thd)3,resource:O3,,,0.22,300,10.1016/j.tsf.2004.06.160,R254
resource:Tm2O3,resource:Tm(thd)3,resource:O3,,,0.22,300,10.1088/1361-6463/ab7a5a,R254
resource:Tm2O3,resource:Tm(thd)3,resource:O3,,,0.22,300,10.3390/nano9030413,R254
resource:Tm2O3,resource:Tm(Cp)3,resource:H2O,,,1.5,200-300,10.1016/j.apsusc.2017.05.066,R254
resource:Yb2O3,resource:Yb(thd)3,resource:O3,,,0.15-0.2,250-400,10.1002/pssr.201700076,R254
resource:Yb2O3,resource:Yb(thd)3,resource:O3,,,0.15-0.2,250-400,10.1016/j.optmat.2018.05.001,R254
resource:Yb2O3,resource:Yb(thd)3,resource:O3,,,0.15-0.2,250-400,10.1016/j.apsusc.2009.08.073,R254
resource:Yb2O3,resource:Yb(MeCp)3,resource:H2O,,,1,180-375,10.1149/1.3122114,R254
resource:Yb3Al5O12,resource:Yb(thd)3,resource:TMA,resource:O3,,0.2,350,10.1016/j.jallcom.2020.154964,R254
resource:YbMnO3,resource:Yb(thd)3,resource:Mn(thd)2,resource:O3,,0.18,275-300,10.1021/cm103480d,R254
resource:YbVO4,resource:Yb(thd)3,resource:VO(thd)2,resource:O3,,0.08-0.23,240,10.1039/c7dt00253j,R254
resource:Lu2O3,resource:Lu(SiMe3Cp)2Cl,resource:H2O,,,0.25,360-370,10.1063/1.1773360,R254
resource:Lu2O3,resource:Lu(SiMe3Cp)2Cl,resource:H2O,,,0.25,360-370,10.1103/physrevlett.94.027602,R254
resource:Lu2O3,resource:Lu(iPrCp)3,resource:H2O,,,_,330,10.1063/1.3002373,R254
resource:LuMnO3,resource:Lu(thd)3,resource:Mn(thd)3,resource:O3,,0.18,275-300,10.1021/cm103480d,R254
resource:LuAlO3,resource:Lu(thd)3,resource:TMA,resource:O3,,0.35,300,10.1149/1.3567622,R254
resource:Lu3Al5O12,resource:Lu(thd)3,resource:TMA,resource:O3,,0.19,350,10.1016/j.jallcom.2021.160993,R254
resource:Lu,resource:Lu(thd)3,resource:O3,,,0.3,230,10.1116/1.5134446,R254
resource:LuSi1.5O5,resource:Lu(tmsa)3,resource:H2O/O3,,,0.60-4.3,280-380,10.1016/j.tsf.2004.06.160,R254
resource:LuSi1.5O5,resource:Lu(tmsa)3,resource:H2O/O3,,,0.60-4.3,280-380,10.1149/1.2347109,R254
resource:Lu3Ga5O12,resource:Lu(thd)3,resource:Ga(C2H5)3,resource:O3,,0.2,350,10.1021/acsanm.3c01988,R254
